I	I[ALFS]
hanpinanpaq	hanpi[VRoot][=curar][^DB][--]na[NS][+Obl][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]paq[Cas][+Ben]

.	.[$,]

Pero	Pero[NRootES]

kaykuna	kay[PrnDem][--]kuna[Num][+Pl]

sapa	sapa[NRoot][=cada]

kutin	kuti[NRoot][=vez][^DB][--]n[NPers][+3.Sg.Poss]

qhawallaqku	qhawa[VRoot][=mirar][^DB][--]lla[Amb][+Lim_Aff][^DB][--]qku[VPers][+3.Pl.Subj.Hab]

,	,[$,]

siminta	simi[NRoot][=boca][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

ñawinkunata	ñawi[NRoot][=ojo][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

,	,[$,]

huk	huk[NRootNUM]

pastillachakunatataq	pastilla[NRootES][--]cha[NDeriv][+Dim][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc][^DB][--]taq[Amb][+Con_Intr]

qowaqku	qu[VRoot][=dar][^DB][--]wa[VPers][+1.Obj][^DB][--]qku[VPers][+3.Pl.Subj.Hab]

:	:[$,]

-	-[$-]

Traer	Traer	+?

a	a[SP]

la	la[SP]

otra	otra[NRootES]

semana	semana[NRootES]

,	,[$,]

-	-[$-]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

.	.[$,]

Khayna	Khayna[PrnDem]

semanan	semana[NRootES][^DB][--]n[NPers][+3.Sg.Poss]

semanan	semana[NRootES][^DB][--]n[NPers][+3.Sg.Poss]

Hospitalman	Hospital[NRootES][^DB][--]man[Cas][+Dat_Ill]

q'epishasqaypin	q'ipi[VRoot][=llevar][^DB][--]sha[Asp][+Prog][^DB][--]sqa[NS][+Perf][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

,	,[$,]

ña	ña[Part_Disc]

pulmonnin	pulmon[NRootES][^DB][--]nin[NPers][+3.Sg.Poss]

chiriyapushaqña	chiri[NRoot][=frío][--]ya[VS][+Trs][--]pu[VDeriv][+Rgr_Iprs][^DB][--]sha[Asp][+Prog][^DB][--]q[NS][+Ag][^DB][--]ña[Amb][+Disc]

.	.[$,]

Ultimomanñan	Ultimo[NRootES][^DB][--]man[Cas][+Dat_Ill][^DB][--]ña[Amb][+Disc][^DB][--]n[Amb][+DirE]

niwaranku	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]ra[Tns][+NPst][--]nku[VPers][+3.Pl.Subj]

:	:[$,]

paqareqpaqmi	paqari[VRoot][=amanecer][^DB][--]q[NS][+Ag][^DB][--]paq[Cas][+Ben][^DB][--]mi[Amb][+DirE]

cama	cama[NRootES]

kan	ka[VRoot][=ser][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Paqarisnintin	Paqaris[NRoot][=mañana][^DB][--]nintin[Cas][+Iclsv]

apaqtiytaq	apa[VRoot][=llevar][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]taq[Amb][+Con_Intr]

,	,[$,]

cheqaq	chiqaq[NRoot][=verdad,derecho]

kasqa	ka[VRoot][=ser][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

internakunku	interna[VRootES][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]nku[VPers][+3.Pl.Subj]

,	,[$,]

pero	pero[NRootES]

ña	ña[Part_Disc]

astawan	as[NRoot][=poco][^DB][--]ta[Cas][+Acc][^DB][--]wan[Cas][+Con_Inst]

malña	malña	+?

.	.[$,]

Noqaqa	Nuqa[PrnPers+1.Sg][^DB][--]qa[Amb][+Top]

pensani	pensa[VRootES][^DB][--]ni[VPers][+1.Sg.Subj]

manachu	mana[Part_Neg][^DB][--]chu[Amb][+Intr_Neg]

hina	hina[Part_Sim]

hanpeqkuchu	hanpi[VRoot][=curar][^DB][--]qku[VPers][+3.Pl.Subj.Hab][^DB][--]chu[Amb][+Intr_Neg]

,	,[$,]

sapa	sapa[NRoot][=cada]

p'unchay	p'unchay[NRoot][=día]

Hospitalta	Hospital[NRootES][^DB][--]ta[Cas][+Acc]

reqtiymi	ri[VRoot][=ir][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]mi[Amb][+DirE]

chay	chay[PrnDem]

yuraqmanta	yuraq[NRoot][=blanco][^DB][--]manta[Cas][+Abl]

p'achasqa	p'achasqa	+?

señoritakuna	señorita[NRootES][--]kuna[Num][+Pl]

,	,[$,]

mana	mana[Part_Neg]

visitayta	visita[VRootES][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

dejawaqkuchu	deja[VRootES][^DB][--]wa[VPers][+1.Obj][^DB][--]qku[VPers][+3.Pl.Subj.Hab][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Payqa	Pay[PrnPers+3.Sg][^DB][--]qa[Amb][+Top]

hospitalpeqa	hospital[NRootES][^DB][--]pi[Cas][+Loc][^DB][--]qa[Amb][+Top]

iskay	iskay[NRootNUM]

semanallan	semana[NRootES][^DB][--]lla[Amb][+Lim_Aff][^DB][--]n[Amb][+DirE]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

chay	chay[PrnDem]

kasqan	ka[VRoot][=ser][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss]

tiempotaqmi	tiempo[NRootES][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

apenas	apenas[NRootES]

warmiy	warmi[NRoot][=mujer][^DB][--]y[NPers][+1.Sg.Poss]

qhawayoqta	qhawayoqta	+?

dejawaranku	deja[VRootES][^DB][--]wa[VPers][+1.Obj][^DB][--]ra[Tns][+NPst][--]nku[VPers][+3.Pl.Subj]

kinsa	kinsa[NRootNUM]

kutillata	kuti[NRoot][=vez][^DB][--]lla[Amb][+Lim_Aff][^DB][--]ta[Cas][+Acc]

.	.[$,]

Pero	Pero[NRootES]

hinawanpas	hina[Part_Sim][^DB][--]wan[Cas][+Con_Inst][^DB][--]pas[Amb][+Add]

sapa	sapa[NRoot][=cada]

p'unchay	p'unchay[NRoot][=día]

req	ri[VRoot][=ir][^DB][--]q[NS][+Ag]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

chay	chay[PrnDem]

señoritakunata	señorita[NRootES][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

tapoqtiytaq	tapu[VRoot][=preguntar][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]taq[Amb][+Con_Intr]

niwaqku	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]qku[VPers][+3.Pl.Subj.Hab]

:	:[$,]

-	-[$-]

Esta	Esta	+?

bien	bien[NRootES]

,	,[$,]

esta	esta	+?

bien	bien[NRootES]

,	,[$,]

-	-[$-]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

.	.[$,]

Khayna	Khayna[PrnDem]

"	"[$,]

esta	esta	+?

bien	bien[NRootES]

,	,[$,]

esta	esta	+?

bien	bien[NRootES]

"	"[$,]

niwashaqtinkun	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]nku[NPers][+3.Pl.Poss][^DB][--]n[Amb][+DirE]

,	,[$,]

como	como[SP]

de	de[SP]

costumbre	costumbre[NRootES]

huk	huk[NRootNUM]

tutamanta	tuta[NRoot][=noche][^DB][--]manta[Cas][+Abl]

reqtiy	ri[VRoot][=ir][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss]

,	,[$,]

huk	huk[NRootNUM]

ruraqmanta	rura[VRoot][=hacer][^DB][--]q[NS][+Ag][^DB][--]manta[Cas][+Abl]

señorita	señorita[NRootES]

rimayniypi	rima[VRoot][=hablar][^DB][--]y[NS][+Inf][^DB][--]niy[NPers][+1.Sg.Poss][^DB][--]pi[Cas][+Loc]

niwan	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]n[VPers][+3.Sg.Subj]

:	:[$,]

-	-[$-]

Gregorio	Gregorio[NP]

,	,[$,]

warmiykin	warmi[NRoot][=mujer][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]n[Amb][+DirE]

wañupun	wañu[VRoot][=morir][--]pu[VDeriv][+Rgr_Iprs][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

apakapunaykin	apa[VRoot][=llevar][^DB][--]ka[VDeriv][+Rflx_Int][--]pu[VDeriv][+Rgr_Iprs][^DB][--]na[NS][+Obl][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]n[Amb][+DirE]

.	.[$,]

Entonces	Entonces[NRootES]

chayraq	chay[PrnDem][^DB][--]raq[Amb][+Cont]

warmiyta	warmi[NRoot][=mujer][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

rikuchiwanku	riku[VRoot][=ver,conocer,aparecer][^DB][--]chi[VDeriv][+Caus][^DB][--]wa[VPers][+1.Obj][^DB][--]nku[VPers][+3.Pl.Subj]

,	,[$,]

chay	chay[PrnDem]

kasqan	ka[VRoot][=ser][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss]

señoritallataq	señorita[NRootES][^DB][--]lla[Amb][+Lim_Aff][^DB][--]taq[Amb][+Con_Intr]

,	,[$,]

paypa	pay[PrnPers+3.Sg][^DB][--]pa[Cas][+Gen]

kasqanman	ka[VRoot][=ser][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]man[Cas][+Dat_Ill]

pusaruwan	pusa[VRoot][=llevar][--]ru[VDeriv][+Rptn][^DB][--]wa[VPers][+1.Obj][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Huk	Huk[NRootNUM]

cuartochata	cuarto[NRootES][--]cha[NDeriv][+Dim][^DB][--]ta[Cas][+Acc]

kicharun	kicha[VRoot][=abrir][--]ru[VDeriv][+Rptn][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

punkumantataq	punku[NRoot][=puerta][^DB][--]manta[Cas][+Abl][^DB][--]taq[Amb][+Con_Intr]

rikuruni	riku[VRoot][=ver,conocer,aparecer][--]ru[VDeriv][+Rptn][^DB][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

frazadawan	frazada[NRootES][^DB][--]wan[Cas][+Con_Inst]

tapasqa	tapa[VRoot][=ocultar][^DB][--]sqa[NS][+Perf]

,	,[$,]

tawa	tawa[NRootNUM]

almakuna	alma[NRootES][--]kuna[Num][+Pl]

wikch'ulayashasqa	wikch'ulayashasqa	+?

panpapi	panpa[NRoot][=suelo,tierra][^DB][--]pi[Cas][+Loc]

.	.[$,]

Hinaspa	Hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

pay	pay[PrnPers+3.Sg]

señoritallataq	señorita[NRootES][^DB][--]lla[Amb][+Lim_Aff][^DB][--]taq[Amb][+Con_Intr]

niwan	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]n[VPers][+3.Sg.Subj]

:	:[$,]

-	-[$-]

Haqay	Haqay[PrnDem]

kaqmi	ka[VRoot][=ser][^DB][--]q[NS][+Ag][^DB][--]mi[Amb][+DirE]

.	.[$,]

Frazadata	Frazada[NRootES][^DB][--]ta[Cas][+Acc]

q'allparoqtiy	q'allparoqtiy	+?

,	,[$,]

pay	pay[PrnPers+3.Sg]

kasqa	ka[VRoot][=ser][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

.	.[$,]

Khaynan	Khayna[PrnDem][^DB][--]n[Amb][+DirE]

cheqaqta	chiqaq[NRoot][=verdad,derecho][^DB][--]ta[Cas][+Acc]

warmiy	warmi[NRoot][=mujer][^DB][--]y[NPers][+1.Sg.Poss]

wañusqa	wañu[VRoot][=morir][^DB][--]sqa[NS][+Perf]

kashasqa	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

ñawinkunapas	ñawi[NRoot][=ojo][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]pas[Amb][+Add]

qhawamuwashaq	qhawa[VRoot][=mirar][--]mu[VDeriv][+Cis_Trs][^DB][--]wa[VPers][+1.Obj][^DB][--]sha[Asp][+Prog][^DB][--]q[NS][+Ag]

hina	hina[Part_Sim]

.	.[$,]

Ankaypin	Anka[VRoot][=volar][^DB][--]y[NS][+Inf][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

sunqoy	sunqu[NRoot][=corazón][^DB][--]y[NPers][+1.Sg.Poss]

q'aymayarun	q'aymayarun	+?

,	,[$,]

musphaspa	muspha[VRoot][=perderse][^DB][--]spa[NS][+SS]

,	,[$,]

loqhetaq	luqhi[NRoot][=inútil][^DB][--]taq[Amb][+Con_Intr]

ch'ukchanmanta	ch'uk[NRoot][=silencio][--]cha[NDeriv][+Dim][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl]

thitakachani	thita[VRoot][=sacudir][--]kacha[VDeriv][+Intrup][^DB][--]ni[VPers][+1.Sg.Subj]

:	:[$,]

-	-[$-]

Yaw	Yaw	+?

,	,[$,]

Josefa	Josefa[NP]

!	![$,]

Yaw	Yaw	+?

,	,[$,]

Josefa	Josefa[NP]

!	![$,]

-	-[$-]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

.	.[$,]

Pero	Pero[NRootES]

ña	ña[Part_Disc]

wañusqaña	wañu[VRoot][=morir][^DB][--]sqa[NS][+Perf][^DB][--]ña[Amb][+Disc]

kasqa	ka[VRoot][=ser][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

,	,[$,]

q'alachalla	q'ala[NRoot][=desnudo][--]cha[NDeriv][+Dim][^DB][--]lla[Amb][+Lim_Aff]

,	,[$,]

unqoq	unqu[NRoot][=enfermo][^DB][--]q[Cas][+Gen]

p'acha	p'acha[NRoot][=ropa]

churasqankutapas	chura[VRoot][=poner][^DB][--]sqa[NS][+Perf][^DB][--]nku[NPers][+3.Pl.Poss][^DB][--]ta[Cas][+Acc][^DB][--]pas[Amb][+Add]

ña	ña[Part_Disc]

ch'ustirapusqakuña	ch'usti[VRoot][=desvestir][--]ra[VDeriv][+Rptn][--]pu[VDeriv][+Rgr_Iprs][^DB][--]sqaku[VPers][+3.Pl.IPst][^DB][--]ña[Amb][+Disc]

.	.[$,]

Sichus	Si[Part_Cond][^DB][--]chu[Amb][+Intr_Neg][^DB][--]s[Amb][+IndE]

mana	mana[Part_Neg]

warmiyta	warmi[NRoot][=mujer][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

hospitalman	hospital[NRootES][^DB][--]man[Cas][+Dat_Ill]

apayman	apa[VRoot][=llevar][^DB][--]yman[VPers][+1.Sg.Subj.Pot]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

chayqa	chay[PrnDem][^DB][--]qa[Amb][+Top]

noqa	nuqa[PrnPers+1.Sg]

pensani	pensa[VRootES][^DB][--]ni[VPers][+1.Sg.Subj]

manachu	mana[Part_Neg][^DB][--]chu[Amb][+Intr_Neg]

hina	hina[Part_Sim]

wañunman	wañu[NRoot][=muerte][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]man[Cas][+Dat_Ill]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Chaymantaña	Chay[PrnDem][^DB][--]manta[Cas][+Abl][^DB][--]ña[Amb][+Disc]

yachani	yacha[VRoot][=saber,habitar][^DB][--]ni[VPers][+1.Sg.Subj]

pulmón	pulmon[NRootES]

resfriotaqa	resfrio[NRootES][^DB][--]ta[Cas][+Acc][^DB][--]qa[Amb][+Top]

facilllatas	fácil[NRootES][^DB][--]lla[Amb][+Lim_Aff][^DB][--]ta[Cas][+Acc][^DB][--]s[Amb][+IndE]

hanpikun	hanpi[VRoot][=curar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

q'oñisqa	q'uñi[VRoot][=calentar][^DB][--]sqa[NS][+Perf]

qonchuta	qunchu[NRoot][=fango][^DB][--]ta[Cas][+Acc]

,	,[$,]

runtu	runtu[NRoot][=huevo]

batisqata	bati[VRootES][^DB][--]sqa[NS][+Perf][^DB][--]ta[Cas][+Acc]

tragoyoqta	trago[NRootES][^DB][--]yuq[NDeriv][+Poss][^DB][--]ta[Cas][+Acc]

tomachispa	toma[VRootES][^DB][--]chi[VDeriv][+Caus][^DB][--]spa[NS][+SS]

.	.[$,]

Kay	Kay[PrnDem]

resfrioq	resfrio[NRootES][^DB][--]q[Cas][+Gen]

ch'okho	ch'okho	+?

uhunwanqa	uhu[NRoot][=tos][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]wan[Cas][+Con_Inst][^DB][--]qa[Amb][+Top]

pulmonninchissi	pulmon[NRootES][^DB][--]ninchis[NPers][+1.Pl.Incl.Poss][^DB][--]si[Amb][+IndE]

t'oqo	t'uqu[NRoot][=agujero]

t'oqo	t'uqu[NRoot][=agujero]

,	,[$,]

hinaspas	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS][^DB][--]s[Amb][+IndE]

kay	kay[PrnDem]

t'oqokunata	t'uqu[NRoot][=agujero][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

t'uruwan	t'uru[NRoot][=fango][^DB][--]wan[Cas][+Con_Inst]

hina	hina[Part_Sim]

tapan	tapa[VRoot][=ocultar][^DB][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Khaynan	Khayna[PrnDem][^DB][--]n[Amb][+DirE]

pay	pay[PrnPers+3.Sg]

mana	mana[Part_Neg]

wañunmanchu	wañu[VRoot][=morir][^DB][--]n[VPers][+3.Sg.Subj][--]man[Mod][+Pot][^DB][--]chu[Amb][+Intr_Neg]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

hasta	hasta[NRootES]

kunankamapas	kunan[NRoot][=ahora][^DB][--]kama[Cas][+Term][^DB][--]pas[Amb][+Add]

acompañashallawanman	acompañashallawanman	+?

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Pobre	Pobre[NRootES]

almaytaq	alma[NRootES][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]taq[Amb][+Con_Intr]

,	,[$,]

morguepi	morgue[NRootES][^DB][--]pi[Cas][+Loc]

panpapi	panpa[NRoot][=suelo,tierra][^DB][--]pi[Cas][+Loc]

wikch'usqa	wikch'u[VRoot][=echar][^DB][--]sqa[NS][+Perf]

.	.[$,]

Hukkuna	Huk[NRootNUM][--]kuna[Num][+Pl]

niwanku	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]nku[VPers][+3.Pl.Subj]

apakapuy	apa[VRoot][=llevar][^DB][--]ka[VDeriv][+Rflx_Int][--]pu[VDeriv][+Rgr_Iprs][^DB][--]y[VPers][+2.Sg.Subj.Imp]

,	,[$,]

hoqkunataq	huq[NRootNUM][--]kuna[Num][+Pl][^DB][--]taq[Amb][+Con_Intr]

almayki	alma[NRootES][^DB][--]yki[NPers][+2.Sg.Poss]

horqonaykipaqqa	hurqu[VRoot][=sacar][^DB][--]na[NS][+Obl][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]paq[Cas][+Ben][^DB][--]qa[Amb][+Top]

primerota	primero[NRootES][^DB][--]ta[Cas][+Acc]

chaytaraq	chay[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]raq[Amb][+Cont]

haqaytaraq	haqay[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]raq[Amb][+Cont]

ruray	rura[VRoot][=hacer][^DB][--]y[VPers][+2.Sg.Subj.Imp]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

.	.[$,]

Chaypin	Chay[PrnDem][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

huk	huk[NRootNUM]

panteonero	panteonero[NRootES]

metekamuspa	mete[VRootES][^DB][--]ka[VDeriv][+Rflx_Int][--]mu[VDeriv][+Cis_Trs][^DB][--]spa[NS][+SS]

nin	ni[VRoot][=decir][^DB][--]n[VPers][+3.Sg.Subj]

:	:[$,]

-	-[$-]

Wakcha	Wakcha[NRoot][=pobre]

alman	alma[NRootES][^DB][--]n[Amb][+DirE]

,	,[$,]

sankhunman	sankhu[NRoot][=denso,potaje_de_cereales_tostados][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]man[Cas][+Dat_Ill]

wikch'uyamuchunku	wikch'u[VRoot][=echar][--]ya[VDeriv][+Aff][--]mu[VDeriv][+Cis_Trs][^DB][--]chunku[VPers][+3.Pl.Subj.Imp]

.	.[$,]

-	-[$-]

nispa	ni[VRoot][=decir][^DB][--]spa[NS][+SS]

.	.[$,]

Sunqoy	Sunqu[NRoot][=corazón][^DB][--]y[NPers][+1.Sg.Poss]

khayna	khayna[PrnDem]

q'ayma	q'ayma	+?

kashasqanmanta	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl]

,	,[$,]

t'ikrarukun	t'ikra[VRoot][=volver][--]ru[VDeriv][+Rptn][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]n[VPers][+3.Sg.Subj]

cheqnikuymanta	chiqni[VRoot][=odiar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]y[NS][+Inf][^DB][--]manta[Cas][+Abl]

t'inpurishasparaq	t'inpu[VRoot][=hervir][--]ri[VDeriv][+Inch][^DB][--]sha[Asp][+Prog][^DB][--]spa[NS][+SS][^DB][--]raq[Amb][+Cont]

.	.[$,]

Ñawiymantataqmi	Ñawi[NRoot][=ojo][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]manta[Cas][+Abl][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

ninaraqchu	nina[NRoot][=fuego][^DB][--]raq[Amb][+Cont][^DB][--]chu[Amb][+Intr_Neg]

hina	hina[Part_Sim]

phawamushan	phawa[VRoot][=correr,volar][--]mu[VDeriv][+Cis_Trs][^DB][--]sha[Asp][+Prog][--]n[VPers][+3.Sg.Subj]

,	,[$,]

chay	chay[PrnDem]

panteonero	panteonero[NRootES]

wañurachinaypaq	wañu[VRoot][=morir][--]ra[VDeriv][+Rptn][^DB][--]chi[VDeriv][+Caus][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]paq[Cas][+Ben]

.	.[$,]

Imaynataq	Imayna[PrnInterr][=cómo][^DB][--]taq[Amb][+Con_Intr]

,	,[$,]

a	a[SP]

ver	ver	+?

,	,[$,]

pobre	pobre[NRootES]

almayta	alma[NRootES][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

sankhunman	sankhu[NRoot][=denso,potaje_de_cereales_tostados][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]man[Cas][+Dat_Ill]

wikch'uyaramunkuman	wikch'u[VRoot][=echar][--]ya[VDeriv][+Aff][--]ra[VDeriv][+Rptn][--]mu[VDeriv][+Cis_Trs][^DB][--]nku[VPers][+3.Pl.Subj][--]man[Mod][+Pot]

,	,[$,]

noqa	nuqa[PrnPers+1.Sg]

ladonpi	lado[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc]

kashaqtiy	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss]

,	,[$,]

cristianota	cristiano[NRootES][^DB][--]ta[Cas][+Acc]

hina	hina[Part_Sim]

cajonpi	cajon[NRootES][^DB][--]pi[Cas][+Loc]

p'anpayta	p'anpa[VRoot][=enterrar][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

atishaqtiy	ati[VRoot][=poder,vencer][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss]

?	?[$,]

Hinaspa	Hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

chay	chay[PrnDem]

yuraqmanta	yuraq[NRoot][=blanco][^DB][--]manta[Cas][+Abl]

señoritata	señorita[NRootES][^DB][--]ta[Cas][+Acc]

nirani	ni[VRoot][=decir][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

:	:[$,]

-	-[$-]

No	No[SP]

,	,[$,]

mamitáy	mamita[NRootES][^DB][--]y[NPers][+1.Sg.Poss]

,	,[$,]

warmiytaqa	warmi[NRoot][=mujer][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc][^DB][--]qa[Amb][+Top]

cristianata	cristiana[NRootES][^DB][--]ta[Cas][+Acc]

hina	hina[Part_Sim]

sepulturasaq	sepulturasaq	+?

cajonpi	cajon[NRootES][^DB][--]pi[Cas][+Loc]

.	.[$,]

Pero	Pero[NRootES]

mana	mana[Part_Neg]

qolqey	qulqi[NRoot][=plata][^DB][--]y[NPers][+1.Sg.Poss]

karanchu	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

cajón	cajon[NRootES]

precionman	precio[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]man[Cas][+Dat_Ill]

aypaq	aypa[VRoot][=alcanzar][^DB][--]q[NS][+Ag]

,	,[$,]

kinsa	kinsa[NRootNUM]

pachaq	pachaq[NRootNUM]

tawa	tawa[NRootNUM]

chunkanmi	chunka[NRootNUM][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]mi[Amb][+DirE]

valeran	vale[VRootES][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Hinaspa	Hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

derecho	derecho[NRootES]

mana	mana[Part_Neg]

pensaspallaña	pensa[VRootES][^DB][--]spa[NS][+SS][^DB][--]lla[Amb][+Lim_Aff][^DB][--]ña[Amb][+Disc]

,	,[$,]

huk	huk[NRootNUM]

Sicuani	Sicuani[NP]

ladomanta	lado[NRootES][^DB][--]manta[Cas][+Abl]

paisanoq	paisano[NRootES][^DB][--]q[Cas][+Gen]

wasinta	wasi[NRoot][=casa][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

